,PseudoTime1,PseudoTime2,PseudoTime3,PseudoTime4
E1466_120,,0.14912,,
E1762_259,,,0.32331,
E634_770,,0.9636600000000001,,
E1462_698,0.8734299999999999,,,
E530_62,,,0.07644,
E405_763,0.95489,,,
E904_576,0.72055,,,
E1912_357,,,0.44611999999999996,
E968_333,,,0.41603999999999997,
E698_566,0.70802,,,
E1072_712,0.8909799999999999,,,
E1398_55,,,0.06767000000000001,
E1864_310,0.38722,,,
E1414_244,,,,0.30451
E824_328,0.40976999999999997,,,
E1396_595,0.74436,,,
E86_602,,,0.75313,
E1795_222,,,0.27694,
E320_95,0.11779,,,
E496_496,0.6203,,,
E1845_549,0.68672,,,
E870_768,,,0.96115,
E327_545,0.6817,,,
E874_264,,,0.32957,
E356_3,,,0.00251,
E1421_501,0.62657,,,
E1575_602,,,0.75313,
E1451_204,,,0.25439,
E1825_557,,,0.6967399999999999,
E1807_474,,,,0.59273
E1799_202,,,0.25188,
E806_520,,,,0.6503800000000001
E30_621,,,0.77694,
E776_66,,,,0.08145
E1521_53,0.06516,,,
E1706_453,,,0.56642,
E96_124,,0.15414,,
E495_771,,0.96491,,
E1533_548,,,0.6854600000000001,
E1791_228,0.28446,,,
E934_623,,,0.77945,
E1364_513,,,0.6416,
E645_773,0.9674200000000001,,,
E742_201,0.25063,,,
E1745_759,0.9498700000000001,,,
E730_649,0.81203,,,
E108_241,,,0.30075,
E1291_522,0.65288,,,
E354_551,,,0.6892199999999999,
E525_57,,,0.07017999999999999,
E927_11,,,0.01253,
E1890_349,0.43609,,,
E1479_590,,0.7381,,
E1528_560,0.7005,,,
E875_252,,,0.31454,
E816_235,0.29323,,,
E1941_512,0.64035,,,
E142_243,,,0.30326,
E1530_401,,,0.50125,
E287_98,0.12155,,,
E1953_325,0.40602,,,
E1743_208,,0.2594,,
E785_598,,,0.74812,
E612_280,,,0.34962,
E1139_643,,,0.8045100000000001,
E471_425,,,0.53133,
E1094_509,,,0.63659,
E251_170,,,0.21178000000000002,
E700_167,0.20801999999999998,,,
E802_476,,,0.59524,
E1736_680,0.85088,,,
E125_296,0.36967,,,
E681_258,0.32206,,,
E1574_629,0.78697,,,
E1375_777,0.9724299999999999,,,
E188_706,,,0.88346,
E591_703,,,0.8797,
E1348_463,0.57895,,,
E609_7,,,0.007520000000000001,
E585_783,,,0.97995,
E1767_99,0.12280999999999999,,,
E615_57,,,,0.07017999999999999
E813_77,,,0.09523999999999999,
E950_124,,0.15414,,
E1637_217,,,0.27068000000000003,
E623_721,,,0.9022600000000001,
E562_160,0.19925,,,
E448_356,0.44486000000000003,,,
E1626_22,0.02632,,,
E1921_771,,,0.96491,
E1226_399,0.49875,,,
E963_489,0.61153,,,
E225_290,0.36216,,,
E1948_697,0.87218,,,
E145_508,,0.63534,,
E629_495,0.61905,,,
E1425_109,,,0.13534000000000002,
E508_799,1.0,,,
E2_473,,0.59148,,
E1721_130,,,,0.16165
E1336_99,,,0.12280999999999999,
E1838_556,0.6954899999999999,,,
E398_499,,,0.6240600000000001,
E1896_715,,,0.89474,
E1910_19,,0.02256,,
E962_620,,,0.77569,
E1750_454,,0.56767,,
E70_349,0.43609,,,
E1705_536,,0.67043,,
E716_531,,,0.6641600000000001,
E614_538,0.67293,,,
E282_330,0.41228000000000004,,,
E514_176,,,0.2193,
E598_497,,,0.62155,
E239_496,0.6203,,,
E458_329,,,0.41103,
E1787_787,,,0.9849600000000001,
E20_102,,0.12657000000000002,,
E1407_600,,,0.75063,
E161_381,0.47618999999999995,,,
E740_176,,0.2193,,
E459_67,,,0.08271,
E1531_114,0.1416,,,
E607_40,,,0.04887,
E1998_571,,,0.71429,
E873_445,0.5563899999999999,,,
E725_34,0.04135,,,
E363_90,,,0.11152999999999999,
E1752_656,0.8208,,,
E940_606,0.75815,,,
E1439_182,0.22682,,,
E745_22,0.02632,,,
E1004_554,,,0.69298,
E1713_225,0.2807,,,
E1860_783,,,0.97995,
E1899_358,0.44737,,,
E543_372,0.46491000000000005,,,
E375_6,0.00627,,,
E1155_479,,,,0.599
E1966_362,0.45238,,,
E12_20,0.023809999999999998,,,
E1282_293,0.36591,,,
E1373_730,0.91353,,,
E1631_691,,,0.86466,
E770_715,,,0.89474,
E1131_561,0.70175,,,
E179_27,,,0.03258,
E896_23,,,0.027569999999999997,
E146_21,,,0.02506,
E1880_695,,,0.86967,
E1859_623,0.77945,,,
E898_730,0.91353,,,
E1893_178,,0.2218,,
E147_170,,,,0.21178000000000002
E703_184,0.22931999999999997,,,
E1476_174,,,0.21679,
E1153_328,0.40976999999999997,,,
E1889_465,0.58145,,,
E257_392,0.48996999999999996,,,
E1157_232,,,,0.28947
E1041_458,,0.57268,,
E44_228,,0.28446,,
E1121_283,,0.35338,,
E1740_379,,,0.47368000000000005,
E1037_132,,0.16416,,
E27_614,,,,0.76817
E658_4,,0.0037600000000000003,,
E1001_145,,0.18045,,
E1113_673,,,0.84211,
E50_775,0.9699200000000001,,,
E1734_720,,,0.9009999999999999,
E1612_385,0.4812,,,
E1816_622,0.7782,,,
E555_106,0.13158,,,
E68_603,,,,0.75439
E859_794,0.9937299999999999,,,
E414_267,,,0.33333,
E791_428,,0.53509,,
E1351_119,,,0.14787,
E1199_749,0.93734,,,
E1501_129,,,0.1604,
E1477_312,,,0.38971999999999996,
E1783_360,,,0.44987,
E628_325,0.40602,,,
E1209_264,,,0.32957,
E1891_22,,,,0.02632
E1309_283,0.35338,,,
E1687_526,0.65789,,,
E1426_634,,,0.79323,
E234_386,0.48246000000000006,,,
E28_595,0.74436,,,
E1494_378,,,0.47243,
E207_57,0.07017999999999999,,,
E1387_169,0.21053000000000002,,,
E1937_583,,,0.72932,
E294_574,0.71805,,,
E308_212,0.26441,,,
E1068_575,,,,0.7193
E1107_245,,,0.30576,
E528_268,0.33459,,,
E1093_56,,,0.06892000000000001,
E531_523,0.6541399999999999,,,
E1264_135,,,0.16792,
E16_49,,,0.06015,
E1826_771,,,0.96491,
E865_720,,0.9009999999999999,,
E1459_498,,,0.6228100000000001,
E844_382,,,0.47744,
E468_418,,,,0.52256
E1289_485,,,,0.60652
E1570_772,0.9661700000000001,,,
E1885_14,0.01629,,,
E523_87,0.10777,,,
E590_775,,,,0.9699200000000001
E1597_127,0.15789,,,
E819_329,0.41103,,,
E1935_271,,,,0.33835
E828_342,,0.42732,,
E318_238,0.29699000000000003,,,
E1949_360,,,0.44987,
E74_464,,,0.5802,
E1932_283,,0.35338,,
E1954_77,,,0.09523999999999999,
E482_643,0.8045100000000001,,,
E1272_371,0.46366,,,
E1882_542,,0.67794,,
E500_726,,,0.9085200000000001,
E748_605,,0.75689,,
E1911_441,0.55138,,,
E1805_345,0.43108,,,
E1645_205,0.25564000000000003,,,
E396_361,0.45113000000000003,,,
E219_463,,,,0.57895
E499_660,,,0.82581,
E512_634,0.79323,,,
E1049_290,,,,0.36216
E97_382,,,0.47744,
E253_240,,,0.2995,
E453_295,,,0.36841999999999997,
E910_497,,0.62155,,
E710_791,,0.9899700000000001,,
E199_790,,,0.98872,
E1313_481,0.6015,,,
E1340_196,0.24436,,,
E1573_98,,0.12155,,
E1076_423,,,0.52882,
E1556_107,0.13283,,,
E1684_524,,,0.6553899999999999,
E684_787,,,0.9849600000000001,
E15_527,0.65915,,,
E433_648,,,,0.8107800000000001
E958_188,0.23434000000000002,,,
E1624_302,,,,0.37719
E78_697,,,0.87218,
E1589_522,,,0.65288,
E99_189,,0.23559000000000002,,
E1616_767,,,0.9599,
E907_204,,,0.25439,
E572_320,0.39975,,,
E134_67,,,,0.08271
E948_447,,,0.5589,
E1023_146,,,0.1817,
E841_374,,,0.46742,
E1428_442,0.5526300000000001,,,
E1832_753,,,,0.9423600000000001
E1622_551,,,0.6892199999999999,
E268_623,0.77945,,,
E1939_684,,,0.8558899999999999,
E1665_282,,,0.35213,
E1292_105,,0.13033,,
E1608_545,,,0.6817,
E1354_596,,,0.74561,
